row_type,run_id,run_tag,endpoint,prompt_set,offered_rpm,rep,reason_codes
rep,arrival-n8n-in_scope-50rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,in_scope,50,1,dropped_iterations
rep,arrival-n8n-in_scope-50rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,in_scope,50,2,dropped_iterations
rep,arrival-n8n-in_scope-60rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,in_scope,60,1,dropped_iterations
rep,arrival-n8n-in_scope-60rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,in_scope,60,2,dropped_iterations
rep,arrival-n8n-in_scope-70rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,in_scope,70,1,dropped_iterations
rep,arrival-n8n-in_scope-70rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,in_scope,70,2,dropped_iterations
rep,arrival-n8n-in_scope-80rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,in_scope,80,1,dropped_iterations
rep,arrival-n8n-in_scope-80rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,in_scope,80,2,dropped_iterations
rep,arrival-n8n-in_scope-90rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,in_scope,90,1,dropped_iterations
rep,arrival-n8n-in_scope-90rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,in_scope,90,2,dropped_iterations
rep,arrival-n8n-in_scope-100rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,in_scope,100,1,dropped_iterations
rep,arrival-n8n-in_scope-100rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,in_scope,100,2,dropped_iterations
point,,sweep_primary,n8n,in_scope,50,,"dropped_iterations,loadgen_invalid"
point,,sweep_primary,n8n,in_scope,60,,"dropped_iterations,loadgen_invalid"
point,,sweep_primary,n8n,in_scope,70,,"dropped_iterations,loadgen_invalid"
point,,sweep_primary,n8n,in_scope,80,,"dropped_iterations,loadgen_invalid"
point,,sweep_primary,n8n,in_scope,90,,"dropped_iterations,loadgen_invalid"
point,,sweep_primary,n8n,in_scope,100,,"dropped_iterations,loadgen_invalid"
