run_id,run_tag,endpoint,target_endpoint,prompt_set,offered_rpm,rep,parent_compare_id,child_batch_id,pair_rep,pair_order,pair_prompt_seed,measure_seconds,measure_ok,preallocated_vus_cfg,max_vus_cfg,vus_cap,vus_max,iterations_count,dropped_iterations_count,dropped_iterations_source,dropped_ok,vu_cap_ok,loadgen_valid,data_sent_count,data_received_count,queue_saturation,attempts_measure_count,successes_measure_count,timeouts_measure_count,timeouts_measure_source,errors_total_measure_count,errors_total_measure_source,errors_non_timeout_measure_count,errors_non_timeout_measure_source,throughput_success_rps,throughput_attempt_rps,timeout_rate,error_rate_total,error_rate_non_timeout,latency_p50_s,latency_p95_s,timeout_compliant,prompt_ids,prompt_attempts_by_id,prompt_successes_by_id,prompt_mix_source,prompt_mix_checked,prompt_mix_ok,prompt_mix_max_minus_min,rep_valid,invalid_reasons,http_429_measure_count,http_429_measure_rate,http_5xx_measure_count,http_5xx_measure_rate,http_non_200_measure_count,http_non_200_measure_rate,summary_file
arrival-n8n-in_scope-10rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,n8n,in_scope,10,1,compare_20260324T160059Z,rep01-n8n,1,rag_first,20260318,720.0,True,,,600,100,140,0,runs_jsonl,True,True,True,87223,359467,False,115,115,0,implicit_zero,0,implicit_zero,0,implicit_zero,0.1597222222222222,0.1597222222222222,0.0,0.0,0.0,27.252669323,52.4868363641,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 8, ""p02"": 7, ""p03"": 8, ""p04"": 8, ""p05"": 7, ""p06"": 8, ""p07"": 8, ""p08"": 8, ""p09"": 8, ""p10"": 7, ""p11"": 8, ""p12"": 7, ""p13"": 7, ""p14"": 8, ""p15"": 8}","{""p01"": 8, ""p02"": 7, ""p03"": 8, ""p04"": 8, ""p05"": 7, ""p06"": 8, ""p07"": 8, ""p08"": 8, ""p09"": 8, ""p10"": 7, ""p11"": 8, ""p12"": 7, ""p13"": 7, ""p14"": 8, ""p15"": 8}",tagged,True,True,1,True,,0,0.0,0,0.0,0,0.0,/bench/results/compare_20260324T160059Z/children/rep01-n8n/arrival-n8n-in_scope-10rpm-rep1-20260324T183540Z-warm.json
arrival-n8n-in_scope-10rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,10,2,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,100,110,0,runs_jsonl,True,True,True,87224,0,False,100,,100,metric,100,metric,0,implicit_zero,,0.1388888888888889,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 6, ""p02"": 7, ""p03"": 7, ""p04"": 7, ""p05"": 7, ""p06"": 6, ""p07"": 7, ""p08"": 6, ""p09"": 7, ""p10"": 7, ""p11"": 6, ""p12"": 7, ""p13"": 7, ""p14"": 6, ""p15"": 7}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,True,,0,0.0,0,0.0,100,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-10rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-10rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,10,3,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,130,0,runs_jsonl,True,True,True,87224,35160,False,120,,0,implicit_zero,120,metric,120,metric,,0.16666666666666666,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 8, ""p02"": 8, ""p03"": 8, ""p04"": 8, ""p05"": 8, ""p06"": 8, ""p07"": 8, ""p08"": 8, ""p09"": 8, ""p10"": 8, ""p11"": 8, ""p12"": 8, ""p13"": 8, ""p14"": 8, ""p15"": 8}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,120,1.0,120,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-10rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-20rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,n8n,in_scope,20,1,compare_20260324T160059Z,rep01-n8n,1,rag_first,20260318,720.0,True,,,600,100,232,0,runs_jsonl,True,True,True,174696,82972,False,200,,200,metric,200,metric,0,implicit_zero,,0.2777777777777778,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 13, ""p02"": 13, ""p03"": 13, ""p04"": 13, ""p05"": 13, ""p06"": 14, ""p07"": 13, ""p08"": 14, ""p09"": 13, ""p10"": 13, ""p11"": 14, ""p12"": 13, ""p13"": 13, ""p14"": 14, ""p15"": 14}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,True,,0,0.0,0,0.0,200,1.0,/bench/results/compare_20260324T160059Z/children/rep01-n8n/arrival-n8n-in_scope-20rpm-rep1-20260324T183540Z-warm.json
arrival-n8n-in_scope-20rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,20,2,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,100,220,0,runs_jsonl,True,True,True,174687,0,False,200,,200,metric,200,metric,0,implicit_zero,,0.2777777777777778,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 13, ""p02"": 13, ""p03"": 13, ""p04"": 14, ""p05"": 14, ""p06"": 13, ""p07"": 13, ""p08"": 13, ""p09"": 13, ""p10"": 14, ""p11"": 13, ""p12"": 14, ""p13"": 14, ""p14"": 13, ""p15"": 13}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,True,,0,0.0,0,0.0,200,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-20rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-20rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,20,3,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,300,0,runs_jsonl,True,True,True,174694,87900,False,240,,0,implicit_zero,240,metric,240,metric,,0.3333333333333333,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 16, ""p02"": 16, ""p03"": 16, ""p04"": 16, ""p05"": 16, ""p06"": 16, ""p07"": 16, ""p08"": 16, ""p09"": 16, ""p10"": 16, ""p11"": 16, ""p12"": 16, ""p13"": 16, ""p14"": 16, ""p15"": 16}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,240,1.0,240,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-20rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-30rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,n8n,in_scope,30,1,compare_20260324T160059Z,rep01-n8n,1,rag_first,20260318,720.0,True,,,600,100,330,0,runs_jsonl,True,True,True,262159,0,False,300,,300,metric,300,metric,0,implicit_zero,,0.4166666666666667,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 20, ""p02"": 20, ""p03"": 20, ""p04"": 20, ""p05"": 20, ""p06"": 20, ""p07"": 20, ""p08"": 20, ""p09"": 20, ""p10"": 20, ""p11"": 20, ""p12"": 20, ""p13"": 20, ""p14"": 20, ""p15"": 20}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,0,0.0,300,1.0,/bench/results/compare_20260324T160059Z/children/rep01-n8n/arrival-n8n-in_scope-30rpm-rep1-20260324T183540Z-warm.json
arrival-n8n-in_scope-30rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,30,2,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,100,330,0,runs_jsonl,True,True,True,262159,0,False,300,,300,metric,300,metric,0,implicit_zero,,0.4166666666666667,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 20, ""p02"": 20, ""p03"": 20, ""p04"": 20, ""p05"": 20, ""p06"": 20, ""p07"": 20, ""p08"": 20, ""p09"": 20, ""p10"": 20, ""p11"": 20, ""p12"": 20, ""p13"": 20, ""p14"": 20, ""p15"": 20}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,0,0.0,300,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-30rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-30rpm-rep1-20260325T045433Z-warm,sweep_primary,n8n,n8n,in_scope,30,3,compare_20260324T160059Z,rep03-n8n,3,rag_first,20260320,720.0,True,,,600,100,450,0,runs_jsonl,True,True,True,262164,131850,False,360,,0,implicit_zero,360,metric,360,metric,,0.5,0.0,1.0,1.0,,,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 24, ""p02"": 24, ""p03"": 24, ""p04"": 24, ""p05"": 24, ""p06"": 24, ""p07"": 24, ""p08"": 24, ""p09"": 24, ""p10"": 24, ""p11"": 24, ""p12"": 24, ""p13"": 24, ""p14"": 24, ""p15"": 24}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,360,1.0,360,1.0,/bench/results/compare_20260324T160059Z/children/rep03-n8n/arrival-n8n-in_scope-30rpm-rep1-20260325T045433Z-warm.json
arrival-n8n-in_scope-40rpm-rep1-20260324T183540Z-warm,sweep_primary,n8n,n8n,in_scope,40,1,compare_20260324T160059Z,rep01-n8n,1,rag_first,20260318,720.0,True,,,600,100,440,0,runs_jsonl,True,True,True,349665,0,False,400,,400,metric,400,metric,0,implicit_zero,,0.5555555555555556,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 27, ""p02"": 26, ""p03"": 27, ""p04"": 27, ""p05"": 26, ""p06"": 27, ""p07"": 27, ""p08"": 27, ""p09"": 27, ""p10"": 26, ""p11"": 27, ""p12"": 26, ""p13"": 26, ""p14"": 27, ""p15"": 27}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,True,,0,0.0,0,0.0,400,1.0,/bench/results/compare_20260324T160059Z/children/rep01-n8n/arrival-n8n-in_scope-40rpm-rep1-20260324T183540Z-warm.json
