endpoint,prompt_set,offered_rpm,reps,run_tags,point_measure_ok,point_loadgen_valid,point_prompt_mix_valid,point_valid,point_error_non_timeout_compliant,point_timeout_compliant,on_best_tradeoff_p95,vus_max_n,vus_max_mean,vus_max_sd,vus_max_ci95_lo,vus_max_ci95_hi,vus_cap_n,vus_cap_mean,vus_cap_sd,vus_cap_ci95_lo,vus_cap_ci95_hi,iterations_count_n,iterations_count_mean,iterations_count_sd,iterations_count_ci95_lo,iterations_count_ci95_hi,dropped_iterations_count_n,dropped_iterations_count_mean,dropped_iterations_count_sd,dropped_iterations_count_ci95_lo,dropped_iterations_count_ci95_hi,throughput_success_rps_n,throughput_success_rps_mean,throughput_success_rps_sd,throughput_success_rps_ci95_lo,throughput_success_rps_ci95_hi,throughput_attempt_rps_n,throughput_attempt_rps_mean,throughput_attempt_rps_sd,throughput_attempt_rps_ci95_lo,throughput_attempt_rps_ci95_hi,timeout_rate_n,timeout_rate_mean,timeout_rate_sd,timeout_rate_ci95_lo,timeout_rate_ci95_hi,error_rate_total_n,error_rate_total_mean,error_rate_total_sd,error_rate_total_ci95_lo,error_rate_total_ci95_hi,error_rate_non_timeout_n,error_rate_non_timeout_mean,error_rate_non_timeout_sd,error_rate_non_timeout_ci95_lo,error_rate_non_timeout_ci95_hi,latency_p50_s_n,latency_p50_s_mean,latency_p50_s_sd,latency_p50_s_ci95_lo,latency_p50_s_ci95_hi,latency_p95_s_n,latency_p95_s_mean,latency_p95_s_sd,latency_p95_s_ci95_lo,latency_p95_s_ci95_hi,http_429_measure_count_n,http_429_measure_count_mean,http_429_measure_count_sd,http_429_measure_count_ci95_lo,http_429_measure_count_ci95_hi,http_429_measure_rate_n,http_429_measure_rate_mean,http_429_measure_rate_sd,http_429_measure_rate_ci95_lo,http_429_measure_rate_ci95_hi,http_5xx_measure_count_n,http_5xx_measure_count_mean,http_5xx_measure_count_sd,http_5xx_measure_count_ci95_lo,http_5xx_measure_count_ci95_hi,http_5xx_measure_rate_n,http_5xx_measure_rate_mean,http_5xx_measure_rate_sd,http_5xx_measure_rate_ci95_lo,http_5xx_measure_rate_ci95_hi,http_non_200_measure_count_n,http_non_200_measure_count_mean,http_non_200_measure_count_sd,http_non_200_measure_count_ci95_lo,http_non_200_measure_count_ci95_hi,http_non_200_measure_rate_n,http_non_200_measure_rate_mean,http_non_200_measure_rate_sd,http_non_200_measure_rate_ci95_lo,http_non_200_measure_rate_ci95_hi
n8n,in_scope,10,1,sweep_primary,True,True,True,True,True,True,True,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,140.0,0.0,140.0,140.0,1,0.0,0.0,0.0,0.0,1,0.1597222222222222,0.0,0.1597222222222222,0.1597222222222222,1,0.1597222222222222,0.0,0.1597222222222222,0.1597222222222222,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,27.252669323,0.0,27.252669323,27.252669323,1,52.4868363641,0.0,52.4868363641,52.4868363641,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
n8n,in_scope,20,1,sweep_primary,True,True,True,True,True,False,False,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,232.0,0.0,232.0,232.0,1,0.0,0.0,0.0,0.0,0,,,,,1,0.2777777777777778,0.0,0.2777777777777778,0.2777777777777778,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,200.0,0.0,200.0,200.0,1,1.0,0.0,1.0,1.0
n8n,in_scope,30,1,sweep_primary,True,True,True,True,True,False,False,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,330.0,0.0,330.0,330.0,1,0.0,0.0,0.0,0.0,0,,,,,1,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,300.0,0.0,300.0,300.0,1,1.0,0.0,1.0,1.0
n8n,in_scope,40,1,sweep_primary,True,True,True,True,True,False,False,1,100.0,0.0,100.0,100.0,1,600.0,0.0,600.0,600.0,1,440.0,0.0,440.0,440.0,1,0.0,0.0,0.0,0.0,0,,,,,1,0.5555555555555556,0.0,0.5555555555555556,0.5555555555555556,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,400.0,0.0,400.0,400.0,1,1.0,0.0,1.0,1.0
n8n,in_scope,50,1,sweep_primary,True,False,True,False,True,False,False,1,102.0,0.0,102.0,102.0,1,600.0,0.0,600.0,600.0,1,549.0,0.0,549.0,549.0,1,2.0,0.0,2.0,2.0,0,,,,,1,0.6930555555555555,0.0,0.6930555555555555,0.6930555555555555,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,499.0,0.0,499.0,499.0,1,1.0,0.0,1.0,1.0
n8n,in_scope,60,1,sweep_primary,True,False,True,False,True,False,False,1,132.0,0.0,132.0,132.0,1,600.0,0.0,600.0,600.0,1,640.0,0.0,640.0,640.0,1,32.0,0.0,32.0,32.0,0,,,,,1,0.8041666666666667,0.0,0.8041666666666667,0.8041666666666667,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,579.0,0.0,579.0,579.0,1,1.0,0.0,1.0,1.0
n8n,in_scope,70,1,sweep_primary,True,False,True,False,True,False,False,1,162.0,0.0,162.0,162.0,1,600.0,0.0,600.0,600.0,1,730.0,0.0,730.0,730.0,1,62.0,0.0,62.0,62.0,0,,,,,1,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,660.0,0.0,660.0,660.0,1,1.0,0.0,1.0,1.0
n8n,in_scope,80,1,sweep_primary,True,False,True,False,True,False,False,1,191.0,0.0,191.0,191.0,1,600.0,0.0,600.0,600.0,1,821.0,0.0,821.0,821.0,1,91.0,0.0,91.0,91.0,0,,,,,1,1.0291666666666666,0.0,1.0291666666666666,1.0291666666666666,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,741.0,0.0,741.0,741.0,1,1.0,0.0,1.0,1.0
n8n,in_scope,90,1,sweep_primary,True,False,True,False,True,False,False,1,221.0,0.0,221.0,221.0,1,600.0,0.0,600.0,600.0,1,912.0,0.0,912.0,912.0,1,121.0,0.0,121.0,121.0,0,,,,,1,1.1402777777777777,0.0,1.1402777777777777,1.1402777777777777,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,821.0,0.0,821.0,821.0,1,1.0,0.0,1.0,1.0
n8n,in_scope,100,1,sweep_primary,True,False,True,False,True,False,False,1,251.0,0.0,251.0,251.0,1,600.0,0.0,600.0,600.0,1,1002.0,0.0,1002.0,1002.0,1,151.0,0.0,151.0,151.0,0,,,,,1,1.2527777777777778,0.0,1.2527777777777778,1.2527777777777778,1,1.0,0.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,,,,,0,,,,,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,902.0,0.0,902.0,902.0,1,1.0,0.0,1.0,1.0
