run_id,run_tag,endpoint,target_endpoint,prompt_set,offered_rpm,rep,parent_compare_id,child_batch_id,pair_rep,pair_order,pair_prompt_seed,measure_seconds,measure_ok,preallocated_vus_cfg,max_vus_cfg,vus_cap,vus_max,iterations_count,dropped_iterations_count,dropped_iterations_source,dropped_ok,vu_cap_ok,loadgen_valid,data_sent_count,data_received_count,queue_saturation,attempts_measure_count,successes_measure_count,timeouts_measure_count,timeouts_measure_source,errors_total_measure_count,errors_total_measure_source,errors_non_timeout_measure_count,errors_non_timeout_measure_source,throughput_success_rps,throughput_attempt_rps,timeout_rate,error_rate_total,error_rate_non_timeout,latency_p50_s,latency_p95_s,timeout_compliant,prompt_ids,prompt_attempts_by_id,prompt_successes_by_id,prompt_mix_source,prompt_mix_checked,prompt_mix_ok,prompt_mix_max_minus_min,rep_valid,invalid_reasons,http_429_measure_count,http_429_measure_rate,http_5xx_measure_count,http_5xx_measure_rate,http_non_200_measure_count,http_non_200_measure_rate,summary_file
arrival-rag-in_scope-10rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,10,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,100,143,0,runs_jsonl,True,True,True,86024,319936,False,117,117,0,implicit_zero,0,implicit_zero,0,implicit_zero,0.1625,0.1625,0.0,0.0,0.0,24.985840546,39.082583873,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 8, ""p02"": 8, ""p03"": 8, ""p04"": 8, ""p05"": 7, ""p06"": 8, ""p07"": 8, ""p08"": 8, ""p09"": 8, ""p10"": 7, ""p11"": 8, ""p12"": 8, ""p13"": 7, ""p14"": 8, ""p15"": 8}","{""p01"": 8, ""p02"": 8, ""p03"": 8, ""p04"": 8, ""p05"": 7, ""p06"": 8, ""p07"": 8, ""p08"": 8, ""p09"": 8, ""p10"": 7, ""p11"": 8, ""p12"": 8, ""p13"": 7, ""p14"": 8, ""p15"": 8}",tagged,True,True,1,True,,0,0.0,0,0.0,0,0.0,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-10rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-20rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,20,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,100,285,0,runs_jsonl,True,True,True,172296,644266,False,232,232,0,implicit_zero,0,implicit_zero,0,implicit_zero,0.32222222222222224,0.32222222222222224,0.0,0.0,0.0,23.883609381499998,41.650054428749996,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 15, ""p02"": 15, ""p03"": 16, ""p04"": 15, ""p05"": 15, ""p06"": 16, ""p07"": 15, ""p08"": 16, ""p09"": 16, ""p10"": 15, ""p11"": 16, ""p12"": 15, ""p13"": 15, ""p14"": 16, ""p15"": 16}","{""p01"": 15, ""p02"": 15, ""p03"": 16, ""p04"": 15, ""p05"": 15, ""p06"": 16, ""p07"": 15, ""p08"": 16, ""p09"": 16, ""p10"": 15, ""p11"": 16, ""p12"": 15, ""p13"": 15, ""p14"": 16, ""p15"": 16}",tagged,True,True,1,True,,0,0.0,0,0.0,0,0.0,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-20rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-30rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,30,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,100,425,0,runs_jsonl,True,True,True,258568,941894,False,348,346,1,metric,2,metric,1,metric,0.48055555555555557,0.48333333333333334,0.0028735632183908046,0.005747126436781609,0.0028735632183908046,22.564315262999997,41.938213647750004,True,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 23, ""p02"": 23, ""p03"": 24, ""p04"": 24, ""p05"": 23, ""p06"": 24, ""p07"": 23, ""p08"": 23, ""p09"": 23, ""p10"": 22, ""p11"": 23, ""p12"": 23, ""p13"": 23, ""p14"": 23, ""p15"": 24}","{""p01"": 23, ""p02"": 23, ""p03"": 24, ""p04"": 24, ""p05"": 23, ""p06"": 24, ""p07"": 23, ""p08"": 22, ""p09"": 22, ""p10"": 22, ""p11"": 23, ""p12"": 23, ""p13"": 23, ""p14"": 23, ""p15"": 24}",tagged,True,False,2,False,prompt_mix_mismatch,0,0.0,1,0.0028735632183908046,2,0.005747126436781609,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-30rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-40rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,40,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,100,531,0,runs_jsonl,True,True,True,344868,990588,False,441,359,82,metric,82,metric,0,implicit_zero,0.4986111111111111,0.6125,0.18594104308390022,0.18594104308390022,0.0,25.063740727,112.0041445963,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 31, ""p02"": 30, ""p03"": 31, ""p04"": 29, ""p05"": 28, ""p06"": 29, ""p07"": 29, ""p08"": 30, ""p09"": 30, ""p10"": 28, ""p11"": 30, ""p12"": 29, ""p13"": 28, ""p14"": 30, ""p15"": 29}","{""p01"": 24, ""p02"": 25, ""p03"": 31, ""p04"": 26, ""p05"": 23, ""p06"": 22, ""p07"": 26, ""p08"": 24, ""p09"": 21, ""p10"": 21, ""p11"": 23, ""p12"": 23, ""p13"": 24, ""p14"": 25, ""p15"": 21}",tagged,True,False,3,False,prompt_mix_mismatch,0,0.0,0,0.0,82,0.18594104308390022,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-40rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-50rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,50,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,100,630,0,runs_jsonl,True,True,True,431192,899389,False,532,320,212,metric,212,metric,0,implicit_zero,0.4444444444444444,0.7388888888888889,0.39849624060150374,0.39849624060150374,0.0,32.71243253,108.33010537695002,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 36, ""p02"": 36, ""p03"": 35, ""p04"": 37, ""p05"": 34, ""p06"": 37, ""p07"": 33, ""p08"": 37, ""p09"": 37, ""p10"": 33, ""p11"": 36, ""p12"": 35, ""p13"": 34, ""p14"": 36, ""p15"": 36}","{""p01"": 20, ""p02"": 22, ""p03"": 22, ""p04"": 23, ""p05"": 18, ""p06"": 22, ""p07"": 23, ""p08"": 25, ""p09"": 21, ""p10"": 20, ""p11"": 22, ""p12"": 20, ""p13"": 20, ""p14"": 21, ""p15"": 21}",tagged,True,False,4,False,prompt_mix_mismatch,0,0.0,0,0.0,212,0.39849624060150374,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-50rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-60rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,60,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,100,744,0,runs_jsonl,True,True,True,517547,885812,False,642,320,322,metric,322,metric,0,implicit_zero,0.4444444444444444,0.8916666666666667,0.5015576323987538,0.5015576323987538,0.0,31.22066704,72.30052062185001,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 42, ""p02"": 43, ""p03"": 45, ""p04"": 44, ""p05"": 42, ""p06"": 42, ""p07"": 44, ""p08"": 42, ""p09"": 46, ""p10"": 40, ""p11"": 42, ""p12"": 41, ""p13"": 42, ""p14"": 43, ""p15"": 44}","{""p01"": 19, ""p02"": 25, ""p03"": 22, ""p04"": 21, ""p05"": 23, ""p06"": 23, ""p07"": 22, ""p08"": 16, ""p09"": 27, ""p10"": 15, ""p11"": 19, ""p12"": 16, ""p13"": 22, ""p14"": 23, ""p15"": 27}",tagged,True,False,6,False,prompt_mix_mismatch,0,0.0,0,0.0,322,0.5015576323987538,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-60rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-70rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,70,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,103,885,3,metric,False,True,False,602160,1102629,False,750,402,348,metric,348,metric,0,implicit_zero,0.5583333333333333,1.0416666666666667,0.464,0.464,0.0,22.974684415,95.0516820345,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 51, ""p02"": 48, ""p03"": 49, ""p04"": 50, ""p05"": 50, ""p06"": 50, ""p07"": 50, ""p08"": 50, ""p09"": 51, ""p10"": 49, ""p11"": 50, ""p12"": 51, ""p13"": 50, ""p14"": 51, ""p15"": 50}","{""p01"": 24, ""p02"": 27, ""p03"": 29, ""p04"": 31, ""p05"": 27, ""p06"": 26, ""p07"": 26, ""p08"": 23, ""p09"": 31, ""p10"": 29, ""p11"": 28, ""p12"": 30, ""p13"": 26, ""p14"": 25, ""p15"": 20}",tagged,True,False,3,False,"dropped_iterations,prompt_mix_mismatch",0,0.0,0,0.0,348,0.464,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-70rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-80rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,80,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,142,921,42,metric,False,True,False,666202,997813,False,791,357,433,metric,434,metric,1,metric,0.49583333333333335,1.0986111111111112,0.5474083438685209,0.5486725663716814,0.0012642225031605564,49.070191656000006,110.74343815979998,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 53, ""p02"": 51, ""p03"": 54, ""p04"": 52, ""p05"": 52, ""p06"": 54, ""p07"": 54, ""p08"": 52, ""p09"": 52, ""p10"": 53, ""p11"": 54, ""p12"": 51, ""p13"": 53, ""p14"": 53, ""p15"": 53}","{""p01"": 21, ""p02"": 26, ""p03"": 27, ""p04"": 28, ""p05"": 29, ""p06"": 27, ""p07"": 23, ""p08"": 22, ""p09"": 22, ""p10"": 24, ""p11"": 23, ""p12"": 15, ""p13"": 26, ""p14"": 21, ""p15"": 23}",tagged,True,False,3,False,"dropped_iterations,prompt_mix_mismatch",0,0.0,1,0.0012642225031605564,434,0.5486725663716814,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-80rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-90rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,90,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,180,1006,80,metric,False,True,False,731161,1048888,False,895,437,457,metric,458,metric,1,metric,0.6069444444444444,1.2430555555555556,0.5106145251396648,0.511731843575419,0.0011173184357541898,41.788205723,114.3171475258,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 61, ""p02"": 62, ""p03"": 61, ""p04"": 60, ""p05"": 57, ""p06"": 61, ""p07"": 58, ""p08"": 60, ""p09"": 58, ""p10"": 60, ""p11"": 60, ""p12"": 57, ""p13"": 63, ""p14"": 59, ""p15"": 58}","{""p01"": 37, ""p02"": 28, ""p03"": 31, ""p04"": 37, ""p05"": 25, ""p06"": 33, ""p07"": 23, ""p08"": 28, ""p09"": 24, ""p10"": 29, ""p11"": 25, ""p12"": 28, ""p13"": 33, ""p14"": 30, ""p15"": 26}",tagged,True,False,6,False,"dropped_iterations,prompt_mix_mismatch",0,0.0,1,0.0011173184357541898,458,0.511731843575419,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-90rpm-rep1-20260324T160059Z-warm.json
arrival-rag-in_scope-100rpm-rep1-20260324T160059Z-warm,sweep_primary,rag,rag,in_scope,100,1,compare_20260324T160059Z,rep01-rag,1,rag_first,20260318,720.0,True,,,600,191,1126,91,metric,False,True,False,814349,1005005,False,980,376,602,metric,604,metric,2,metric,0.5222222222222223,1.3611111111111112,0.6142857142857143,0.6163265306122448,0.0020408163265306124,33.4793872425,111.2407182495,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 67, ""p02"": 65, ""p03"": 63, ""p04"": 65, ""p05"": 66, ""p06"": 67, ""p07"": 67, ""p08"": 65, ""p09"": 65, ""p10"": 65, ""p11"": 67, ""p12"": 64, ""p13"": 65, ""p14"": 65, ""p15"": 64}","{""p01"": 26, ""p02"": 26, ""p03"": 27, ""p04"": 23, ""p05"": 31, ""p06"": 23, ""p07"": 24, ""p08"": 32, ""p09"": 20, ""p10"": 18, ""p11"": 23, ""p12"": 25, ""p13"": 25, ""p14"": 29, ""p15"": 24}",tagged,True,False,4,False,"dropped_iterations,prompt_mix_mismatch",0,0.0,2,0.0020408163265306124,604,0.6163265306122448,/bench/results/compare_20260324T160059Z/children/rep01-rag/arrival-rag-in_scope-100rpm-rep1-20260324T160059Z-warm.json
