run_id,run_tag,endpoint,target_endpoint,prompt_set,offered_rpm,rep,parent_compare_id,child_batch_id,pair_rep,pair_order,pair_prompt_seed,measure_seconds,measure_ok,preallocated_vus_cfg,max_vus_cfg,vus_cap,vus_max,iterations_count,dropped_iterations_count,dropped_iterations_source,dropped_ok,vu_cap_ok,loadgen_valid,data_sent_count,data_received_count,queue_saturation,attempts_measure_count,successes_measure_count,timeouts_measure_count,timeouts_measure_source,errors_total_measure_count,errors_total_measure_source,errors_non_timeout_measure_count,errors_non_timeout_measure_source,throughput_success_rps,throughput_attempt_rps,timeout_rate,error_rate_total,error_rate_non_timeout,latency_p50_s,latency_p95_s,timeout_compliant,prompt_ids,prompt_attempts_by_id,prompt_successes_by_id,prompt_mix_source,prompt_mix_checked,prompt_mix_ok,prompt_mix_max_minus_min,rep_valid,invalid_reasons,http_429_measure_count,http_429_measure_rate,http_5xx_measure_count,http_5xx_measure_rate,http_non_200_measure_count,http_non_200_measure_rate,summary_file
arrival-n8n-in_scope-10rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,10,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,100,110,0,runs_jsonl,True,True,True,87224,0,False,100,,100,metric,100,metric,0,implicit_zero,,0.1388888888888889,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 6, ""p02"": 7, ""p03"": 7, ""p04"": 7, ""p05"": 7, ""p06"": 6, ""p07"": 7, ""p08"": 6, ""p09"": 7, ""p10"": 7, ""p11"": 6, ""p12"": 7, ""p13"": 7, ""p14"": 6, ""p15"": 7}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,True,,0,0.0,0,0.0,100,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-10rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-20rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,20,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,100,220,0,runs_jsonl,True,True,True,174687,0,False,200,,200,metric,200,metric,0,implicit_zero,,0.2777777777777778,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 13, ""p02"": 13, ""p03"": 13, ""p04"": 14, ""p05"": 14, ""p06"": 13, ""p07"": 13, ""p08"": 13, ""p09"": 13, ""p10"": 14, ""p11"": 13, ""p12"": 14, ""p13"": 14, ""p14"": 13, ""p15"": 13}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,True,,0,0.0,0,0.0,200,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-20rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-30rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,30,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,100,330,0,runs_jsonl,True,True,True,262159,0,False,300,,300,metric,300,metric,0,implicit_zero,,0.4166666666666667,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 20, ""p02"": 20, ""p03"": 20, ""p04"": 20, ""p05"": 20, ""p06"": 20, ""p07"": 20, ""p08"": 20, ""p09"": 20, ""p10"": 20, ""p11"": 20, ""p12"": 20, ""p13"": 20, ""p14"": 20, ""p15"": 20}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,True,,0,0.0,0,0.0,300,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-30rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-40rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,40,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,100,440,0,runs_jsonl,True,True,True,349665,0,False,400,,400,metric,400,metric,0,implicit_zero,,0.5555555555555556,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 26, ""p02"": 27, ""p03"": 27, ""p04"": 27, ""p05"": 27, ""p06"": 26, ""p07"": 27, ""p08"": 26, ""p09"": 27, ""p10"": 27, ""p11"": 26, ""p12"": 27, ""p13"": 27, ""p14"": 26, ""p15"": 27}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,True,,0,0.0,0,0.0,400,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-40rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-50rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,50,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,102,550,2,metric,False,True,False,436086,0,False,499,,499,metric,499,metric,0,implicit_zero,,0.6930555555555555,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 33, ""p02"": 33, ""p03"": 33, ""p04"": 34, ""p05"": 34, ""p06"": 33, ""p07"": 33, ""p08"": 33, ""p09"": 33, ""p10"": 34, ""p11"": 33, ""p12"": 34, ""p13"": 33, ""p14"": 33, ""p15"": 33}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,False,dropped_iterations,0,0.0,0,0.0,499,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-50rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-60rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,60,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,132,639,32,metric,False,True,False,506243,0,False,579,,579,metric,579,metric,0,implicit_zero,,0.8041666666666667,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 38, ""p02"": 39, ""p03"": 39, ""p04"": 39, ""p05"": 39, ""p06"": 38, ""p07"": 39, ""p08"": 38, ""p09"": 39, ""p10"": 39, ""p11"": 38, ""p12"": 39, ""p13"": 39, ""p14"": 38, ""p15"": 38}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,False,dropped_iterations,0,0.0,0,0.0,579,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-60rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-70rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,70,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,162,730,62,metric,False,True,False,576459,0,False,660,,660,metric,660,metric,0,implicit_zero,,0.9166666666666666,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 44, ""p02"": 44, ""p03"": 44, ""p04"": 44, ""p05"": 44, ""p06"": 44, ""p07"": 44, ""p08"": 44, ""p09"": 44, ""p10"": 44, ""p11"": 44, ""p12"": 44, ""p13"": 44, ""p14"": 44, ""p15"": 44}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,0,False,dropped_iterations,0,0.0,0,0.0,660,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-70rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-80rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,80,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,191,822,91,metric,False,True,False,647230,0,False,741,,741,metric,741,metric,0,implicit_zero,,1.0291666666666666,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 49, ""p02"": 49, ""p03"": 50, ""p04"": 50, ""p05"": 50, ""p06"": 49, ""p07"": 49, ""p08"": 49, ""p09"": 49, ""p10"": 50, ""p11"": 49, ""p12"": 50, ""p13"": 50, ""p14"": 49, ""p15"": 49}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,False,dropped_iterations,0,0.0,0,0.0,741,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-80rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-90rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,90,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,221,911,121,metric,False,True,False,717339,0,False,821,,821,metric,821,metric,0,implicit_zero,,1.1402777777777777,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 54, ""p02"": 55, ""p03"": 55, ""p04"": 55, ""p05"": 55, ""p06"": 54, ""p07"": 55, ""p08"": 54, ""p09"": 55, ""p10"": 55, ""p11"": 55, ""p12"": 55, ""p13"": 55, ""p14"": 54, ""p15"": 55}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,False,dropped_iterations,0,0.0,0,0.0,821,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-90rpm-rep1-20260324T211021Z-warm.json
arrival-n8n-in_scope-100rpm-rep1-20260324T211021Z-warm,sweep_primary,n8n,n8n,in_scope,100,1,compare_20260324T160059Z,rep02-n8n,2,n8n_first,20260319,720.0,True,,,600,251,1002,151,metric,False,True,False,790544,0,False,902,,902,metric,902,metric,0,implicit_zero,,1.2527777777777778,1.0,1.0,0.0,,,False,"p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15","{""p01"": 60, ""p02"": 60, ""p03"": 60, ""p04"": 61, ""p05"": 60, ""p06"": 60, ""p07"": 60, ""p08"": 60, ""p09"": 60, ""p10"": 60, ""p11"": 60, ""p12"": 61, ""p13"": 60, ""p14"": 60, ""p15"": 60}","{""p01"": 0, ""p02"": 0, ""p03"": 0, ""p04"": 0, ""p05"": 0, ""p06"": 0, ""p07"": 0, ""p08"": 0, ""p09"": 0, ""p10"": 0, ""p11"": 0, ""p12"": 0, ""p13"": 0, ""p14"": 0, ""p15"": 0}",tagged,True,True,1,False,dropped_iterations,0,0.0,0,0.0,902,1.0,/bench/results/compare_20260324T160059Z/children/rep02-n8n/arrival-n8n-in_scope-100rpm-rep1-20260324T211021Z-warm.json
